,@timestamp,Room_in,Portal_in,num_victims,victim_0_id,victim_1_id,victim_2_id,victim_0_color,victim_1_color,victim_2_color,victim_0_in_FOV,victim_1_in_FOV,victim_2_in_FOV,victim_0_in_triage_pos,victim_1_in_triage_pos,victim_2_in_triage_pos,victim_in_crosshair_id,victim_in_cross_hair_color,event_triage_victim_id,triage_in_progress,triage_result,sensor_state,player_ID
0,2020-06-22T17:08:11.520Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
1,2020-06-22T17:08:12.458Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
2,2020-06-22T17:08:12.972Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
3,2020-06-22T17:08:13.486Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
4,2020-06-22T17:08:13.898Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
5,2020-06-22T17:08:14.412Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
6,2020-06-22T17:08:14.720Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
7,2020-06-22T17:08:15.439Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
8,2020-06-22T17:08:15.951Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
9,2020-06-22T17:08:16.466Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
10,2020-06-22T17:08:16.980Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
11,2020-06-22T17:08:17.493Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
12,2020-06-22T17:08:17.903Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
