Index,x0,z0,x1,z1,Room0,Room1
0,-2097,144,-2097,148,ew,el
1,-2094,151,-2090,151,lh1,el
3,-2087,151,-2087,151,lh1,so
4,-2087,156,-2087,156,lh1,cf1
6,-2082,151,-2079,151,lh1,br
8,-2075,151,-2075,151,lh1,es1h
9,-2077,156,-2074,156,lh1,chb
11,-2071,156,-2071,156,lh1,jc
12,-2073,161,-2073,161,chb,mb1
13,-2068,162,-2067,162,mb1,mb2
15,-2069,163,-2069,163,mb2,mb3
16,-2069,167,-2069,167,mb2,mb4
18,-2073,170,-2073,170,chb,wb1
19,-2068,171,-2067,171,wb1,wb2
20,-2066,171,-2065,171,wb1,mkcr
22,-2069,172,-2069,172,wb2,wb3
23,-2069,176,-2069,176,wb2,wb4
24,-2077,178,-2074,179,chb,rh2
25,-2058,151,-2058,151,lh2,es2h
27,-2055,156,-2052,156,lh2,chm
28,-2056,165,-2056,166,chm,acr
30,-2056,168,-2056,169,chm,mkcr
31,-2051,175,-2051,176,chm,hcr
32,-2055,178,-2052,179,chm,rh2
34,-2043,151,-2042,151,lh2,kco1
35,-2037,144,-2036,150,kco2,kco3
36,-2028,151,-2028,151,kco3,tkt
37,-2041,155,-2038,156,lh2,cht1
38,-2042,158,-2042,159,cht1,hcr
39,-2037,168,-2037,168,cht2,r101h
40,-2041,178,-2038,178,cht2,rh2
42,-2036,178,-2036,178,rh2,r102h
43,-2036,183,-2036,183,rh2,r103h
44,-2045,183,-2045,183,rh2,r104h
46,-2054,183,-2054,183,rh2,r105h
48,-2063,183,-2063,183,rh2,r106h
50,-2072,183,-2072,183,rh2,r107h
51,-2081,183,-2081,183,rh1,r108h
53,-2087,178,-2087,178,rh1,cf14
54,-2090,183,-2090,183,rh1,109h
56,-2099,183,-2099,183,rh1,r110h
58,-2108,183,-2108,183,rh1,r111h
59,-2073,144,-2073,146,es1h,es1
60,-2056,144,-2056,146,es2h,es2
63,-2080,159,-2079,159,cf1,cf2
64,-2088,159,-2086,159,cf1,cf3
65,-2095,159,-2094,159,cf1,cf4
66,-2080,163,-2079,163,cf2,cf5
67,-2088,163,-2086,163,cf3,cf6
68,-2095,163,-2094,163,cf4,cf7
69,-2080,167,-2079,167,cf5,cf8
70,-2088,167,-2086,167,cf6,cf9
71,-2095,167,-2094,167,cf7,cf10
72,-2080,171,-2079,171,cf8,cf11
73,-2088,171,-2086,171,cf9,cf12
74,-2095,171,-2094,171,cf10,cf13
75,-2080,175,-2079,175,cf11,cf14
76,-2088,175,-2086,175,cf12,cf14
77,-2095,175,-2094,175,cf13,cf14
80,-2040,144,-2040,146,kco1,kco2
81,-2031,166,-2029,166,r101h,r101
82,-2034,170,-2034,172,r102h,r102
83,-2034,189,-2034,191,r103h,r103
84,-2043,189,-2043,191,r104h,r104
85,-2052,189,-2052,191,r105h,r105
86,-2061,189,-2061,191,r106h,r106
87,-2070,189,-2070,191,r107h,r107
88,-2079,189,-2079,191,r108h,r108
89,-2088,189,-2088,191,r109h,r109
90,-2097,189,-2097,191,r110h,r110
91,-2106,189,-2106,191,r111h,r111
92,-2091,144,-2089,146,el,so
