Index,Victim Location,Color,X,Y,Z
0,so,Gold,-2087,60,144
1,br,Green,-2084,60,145
2,br,Gold,-2077,60,150
3,cf4,Gold,-2081,60,160
4,cf13,Green,-2081,60,174
5,cf12,Gold,-2093,60,168
6,mb3,Green,-2072,60,163
7,mb4,Green,-2072,60,167
8,es2,Green,-2053,60,147
9,acr,Green,-2058,60,160
10,acr,Green,-2063,60,160
11,acr,Gold,-2064,60,166
12,mkcr,Green,-2064,60,177
13,tkt,Green,-2025,60,147
14,hcr,Gold,-2049,60,158
15,hcr,Green,-2049,60,163
16,hcr,Green,-2049,60,169
17,hcr,Gold,-2044,60,176
18,r102,Green,-2029,60,170
19,r102,Gold,-2029,60,176
20,r102,Green,-2032,60,176
21,r104,Green,-2039,60,190
22,r105,Green,-2047,60,186
23,r107,Gold,-2065,60,186
24,r107,Green,-2066,60,190
25,r107,Green,-2068,60,190
26,r108,Green,-2074,60,185
27,r108,Green,-2076,60,191
28,r111,Gold,-2101,60,186
29,r111,Green,-2104,60,190
