Index,x,y,z,Room0,Room1,IsPortal?
0,-2153,52,175,Start,BH2,FALSE
1,-2153,52,176,Start,BH2,FALSE
2,-2136,52,170,XHL1,RJ,FALSE
3,-2136,52,162,XHL2,201,FALSE
4,-2127,52,157,LH2,203,FALSE
5,-2121,52,157,LH3,205,FALSE
6,-2112,52,157,LH4,207,FALSE
7,-2128,52,173,CH2,208W,FALSE
8,-2119,52,173,CH3,208E,FALSE
9,-2113,52,173,CH4,210,FALSE
10,-2132,52,178,CH1,209,FALSE
11,-2128,52,178,CH2,211,FALSE
12,-2111,52,178,CH4,215,FALSE
13,-2134,52,194,BH1,216,FALSE
14,-2125,52,194,BH2,216,FALSE
15,-2120,52,194,BH3,218,FALSE
16,-2113,52,194,BH4,220,FALSE
17,-2118,52,186,213,218,FALSE
18,-2113,52,186,215,220,FALSE
19,-2145,52,179,BH1,E1,FALSE
20,-2149,52,179,BH2,E2,FALSE
21,-2148,52,162,WR,WR0,FALSE
22,-2147,52,161,WR,WR1,FALSE
23,-2145,52,162,MR,M0,FALSE
24,-2129,53,162,201,203,TRUE
25,-2127,53,165,203,208W,TRUE
26,-2124,53,183,211,213,TRUE
27,-2124,53,184,211,213,TRUE
28,-2134,53,186,209,216,TRUE
29,-2135,53,186,209,216,TRUE
30,-2147,52,162,WR,WR1,TRUE
31,-2124,52,166,208E,208W,TRUE
32,-2124,52,167,208E,208W,TRUE
33,-2124,52,168,208E,208W,TRUE
34,-2124,52,169,208E,208W,TRUE
35,-2124,52,170,208E,208W,TRUE
36,-2124,52,171,208E,208W,TRUE
