Index,x0,z0,x1,z1,Room0,Room1
0,-2153,175,-2153,176,Start,BH2
1,-2136,170,-2136,170,XHL1,RJ
2,-2136,162,-2136,162,XHL2,201
3,-2127,157,-2127,157,LH2,203
4,-2121,157,-2121,157,LH3,205
5,-2112,157,-2112,157,LH4,207
6,-2128,173,-2128,173,CH2,208W
7,-2119,173,-2119,173,CH3,208E
8,-2113,173,-2113,173,CH4,210
9,-2132,178,-2132,178,CH1,209
10,-2128,178,-2128,178,CH2,211
11,-2111,178,-2111,178,CH4,215
12,-2134,194,-2134,194,BH1,216
13,-2125,194,-2125,194,BH2,216
14,-2120,194,-2120,194,BH3,218
15,-2113,194,-2113,194,BH4,220
16,-2118,186,-2118,186,213,218
17,-2113,186,-2113,186,215,220
18,-2145,179,-2145,179,BH1,E1
19,-2149,179,-2149,179,BH2,E2
20,-2148,162,-2148,162,WR,WR0
21,-2147,161,-2147,161,WR,WR1
22,-2145,162,-2145,162,MR,M0
23,-2129,162,-2129,162,201,203
24,-2127,165,-2127,165,203,208W
25,-2124,183,-2124,184,211,213
26,-2135,186,-2134,186,209,216
27,-2147,162,-2147,171,WR,WR1
