RoomID,x0,z0,x1,z1
E2,-2148,182,-2149,178
E1,-2145,178,-2146,182
WR,-2147,171,-2150,163
WRx,-2147,162,-2147,162
WR0,-2148,162,-2149,162
WR1,-2147,161,-2150,159
MR,-2142,171,-2145,163
MR0,-2145,162,-2142,159
RJ,-2136,172,-2134,166
201,-2130,164,-2136,158
203,-2124,164,-2129,159
203x,-2126,158,-2126,158
205,-2122,164,-2118,157
207,-2116,164,-2108,157
210,-2108,166,-2115,173
208E,-2124,166,-2117,173
208W,-2132,166,-2125,172
208Wd,-2128,173,-2128,173
209,-2131,178,-2135,186
211,-2129,179,-2125,185
211d,-2128,178,-2128,178
213,-2117,180,-2124,185
213d,-2118,186,-2118,186
215,-2108,178,-2115,186
216,-2135,187,-2124,193
216d,-2125,194,-2125,194
218,-2122,187,-2117,194
220,-2115,187,-2108,194
BH2,-2152,172,-2147,177
BH1,-2146,172,-2142,177
XHC,-2141,174,-2137,180
XHL1,-2140,166,-2137,173
XHL2,-2140,157,-2137,165
LH1,-2140,152,-2130,156
LH2,-2129,152,-2123,156
LH2d,-2127,157,-2127,157
LH3,-2122,152,-2118,156
LH4,-2117,152,-2108,156
CH1,-2136,174,-2131,177
CH2,-2130,174,-2127,177
CH3,-2126,174,-2117,177
CH4,-2116,174,-2108,177
XHR,-2141,182,-2137,199
RH1,-2136,195,-2129,199
RH2,-2128,195,-2123,199
RH3,-2122,195,-2117,199
RH4,-2116,195,-2108,199
