RoomID,x0,z0,x1,z1
ae2,-2148,182,-2149,178
ae1,-2145,178,-2146,182
awb0,-2147,171,-2150,163
awb1,-2148,162,-2149,162
awb2,-2147,161,-2150,159
amb0,-2142,171,-2145,163
amb1,-2145,162,-2142,159
ajc,-2135,166,-2134,171
ar201,-2135,158,-2130,164
ar203,-2128,159,-2124,164
ar203x,-2126,158,-2126,158
ar203d,-2127,157,-2127,157
ar205,-2122,164,-2118,157
ar207,-2116,164,-2108,157
ar210,-2115,166,-2109,172
ar208,-2132,166,-2117,172
ar209,-2135,179,-2131,185
ar211,-2129,179,-2125,185
ar213,-2123,180,-2117,185
ar215,-2115,179,-2109,185
ar216,-2135,187,-2124,193
ar216d,-2134,194,-2134,194
ar218,-2122,187,-2117,193
ar220,-2115,187,-2109,193
achl,-2152,172,-2141,177
alha,-2140,157,-2137,180
alhb,-2140,153,-2109,156
ach,-2136,174,-2109,177
arha,-2140,183,-2137,198
arhb,-2136,195,-2109,198
as,-2167,174,-2154,180
