Index,Victim Location,Color,X,Y,Z
0,E2,Gold,-2148,52,180
1,E1,Green,-2145,52,182
2,WR1,Green,-2148,52,160
3,MR,Green,-2142,52,165
4,MR0,Green,-2142,52,161
5,RJ,Gold,-2135,52,166
6,201,Green,-2133,52,164
7,201,Green,-2130,52,162
8,203,Green,-2124,52,164
9,207,Green,-2116,52,160
10,207,Green,-2109,52,158
11,207,Gold,-2110,52,164
12,210,Green,-2115,52,166
13,210,Green,-2110,52,171
14,208E,Gold,-2118,52,168
15,208W,Gold,-2125,52,171
16,211,Green,-2125,52,184
17,213,Green,-2118,52,180
18,213,Green,-2120,52,185
19,215,Green,-2115,52,181
20,215,Gold,-2109,52,185
21,216,Gold,-2134,52,192
22,216,Green,-2124,52,188
23,218,Green,-2119,52,187
24,220,Green,-2113,52,190
25,220,Green,-2110,52,188
