Index,Victim Location,Color,X,Y,Z
0,es1,Gold,-2070,60,150
1,es2,Green,-2053,60,148
2,es2,Green,-2045,60,144
3,kco2,Green,-2037,60,150
4,kco3,Green,-2029,60,158
5,tkt,Gold,-2023,60,146
6,tkt,Green,-2022,60,154
7,r101,Gold,-2030,60,161
8,r101,Green,-2036,60,161
9,r102,Green,-2029,60,170
10,r102,Green,-2031,60,170
11,r104,Green,-2038,60,185
12,r104,Green,-2039,60,190
13,r105,Green,-2047,60,191
14,r108,Green,-2074,60,185
15,r108,Green,-2076,60,191
16,r110,Gold,-2093,60,185
17,r110,Green,-2096,60,186
18,r110,Green,-2092,60,191
19,r111,Gold,-2101,60,186
20,r111,Green,-2104,60,190
21,cf6,Gold,-2093,60,160
22,cf13,Green,-2081,60,172
23,mb4,Green,-2070,60,164
24,mb5,Green,-2072,60,167
25,wb4,Gold,-2072,60,172
26,mkcr,Green,-2060,60,176
27,acr,Green,-2059,60,157
28,acr,Green,-2064,60,158
29,acr,Gold,-2064,60,166
30,hcr,Gold,-2043,60,175
31,hcr,Green,-2049,60,169
32,hcr,Green,-2049,60,163
33,hcr,Gold,-2047,60,160
