Index,Victim Location,Color,X,Y,Z
0,br,Green,-2077,60,145
1,br,Green,-2082,60,147
2,br,Gold,-2077,60,150
3,es1,Green,-2064,60,147
4,es1,Green,-2062,60,148
5,es1,Green,-2064,60,149
6,kco2,Green,-2038,60,149
7,tkt,Green,-2025,60,147
8,tkt,Green,-2023,60,156
9,r101,Gold,-2030,60,161
10,r101,Gold,-2034,60,164
11,r101,Green,-2029,60,164
12,r101h,Green,-2029,60,168
13,r102,Green,-2029,60,170
14,r102,Green,-2030,60,176
15,r103,Green,-2029,60,185
16,r103,Green,-2031,60,191
17,r105,Green,-2049,60,190
18,r107,Gold,-2067,60,190
19,r108,Green,-2075,60,190
20,r109,Green,-2085,60,186
21,r109,Green,-2083,60,191
22,r110,Gold,-2092,60,186
23,r110,Gold,-2093,60,190
24,r110,Green,-2096,60,190
25,cf11,Green,-2090,60,168
26,cf13,Gold,-2081,60,174
27,wb5,Green,-2072,60,176
28,mb4,Green,-2072,60,163
29,mb3,Green,-2067,60,168
30,acr,Gold,-2064,60,166
31,mkcr,Green,-2064,60,177
32,hcr,Gold,-2045,60,161
33,hcr,Gold,-2047,60,173
