ROOM,NBR0,NBR1,NBR2,NBR3,NBR4,NBR5,NBR6,NBR7,NBR8,NBR9,NBR10,NBR11,NBR12,NBR13
tkt_A,kco_A,,,,,,,,,,,,,
kco_A,tkt_A,kco_B,,,,,,,,,,,,
kco_B,kco_A,ccw,,,,,,,,,,,,
ccw,cf_A,mcw,ccn,jc_A,oba,lib_B,crc,kco_B,rrc,,,,,
lib_A,lib_C,lib_B,,,,,,,,,,,,
lib_B,lib_C,lib_A,ccw,,,,,,,,,,,
lib_C,lib_B,lib_A,,,,,,,,,,,,
oba,ccw,,,,,,,,,,,,,
so,mcw,,,,,,,,,,,,,
mcw,el_A,ca,so,ccw,cce,,,,,,,,,
ccn,r101_A,cce,ccw,hcr_A,,,,,,,,,,
cf_A,cf_C,cf_B,ccw,,,,,,,,,,,
crc,acr,mkcr,cce,hcr_B,ccw,hcr_A,,,,,,,,
jc_A,mb_A,ccw,,,,,,,,,,,,
rrc,mb_A,cce,wb_A,ccw,,,,,,,,,,
ca,br_A,ds_A,mcw,o101,o100_A,,,,,,,,,
cce,r103_A,r110_A,r109_A,mcw,ccn,r107_A,r104_A,r108_A,r106_A,crc,cf_B,r102_A,r105_A,rrc
el_A,llc_G,br_A,mcw,mce,sdc_A,llc_B,ew_A,,,,,,,
hcr_A,ccn,hcr_B,crc,,,,,,,,,,,
r101_A,ccn,,,,,,,,,,,,,
hcr_B,crc,hcr_A,,,,,,,,,,,,
acr,crc,,,,,,,,,,,,,
mkcr,crc,,,,,,,,,,,,,
mb_A,jc_A,rrc,,,,,,,,,,,,
wb_A,rrc,,,,,,,,,,,,,
cf_B,cf_C,cce,cf_A,,,,,,,,,,,
cf_C,cf_B,cf_A,,,,,,,,,,,,
r102_A,cce,,,,,,,,,,,,,
r103_A,llcn,cce,,,,,,,,,,,,
r104_A,cce,,,,,,,,,,,,,
r105_A,cce,,,,,,,,,,,,,
r106_A,cce,,,,,,,,,,,,,
r107_A,cce,,,,,,,,,,,,,
r108_A,cce,,,,,,,,,,,,,
r109_A,cce,,,,,,,,,,,,,
r110_A,cce,,,,,,,,,,,,,
llcn,llc_A,r103_A,scn_A,,,,,,,,,,,
llc_A,buf_A,llc_C,llcn,llc_B,,,,,,,,,,
scn_A,scc,llcn,scw,sce,,,,,,,,,,
ds_A,ca,,,,,,,,,,,,,
br_A,ca,el_A,,,,,,,,,,,,
o100_A,ca,,,,,,,,,,,,,
o101,ca,,,,,,,,,,,,,
buf_A,llc_A,kit_A,llc_B,buf_B,,,,,,,,,,
llc_B,buf_A,llc_G,el_A,buf_C,buf_B,llc_C,llc_F,llc_E,llc_A,,,,,
llc_C,llc_A,llc_D,llc_B,,,,,,,,,,,
buf_B,buf_A,kit_A,buf_C,buf_D,llc_B,,,,,,,,,
buf_C,llc_B,buf_D,buf_B,,,,,,,,,,,
llc_E,llc_D,llc_B,llc_F,,,,,,,,,,,
llc_F,llc_G,llc_B,llc_E,,,,,,,,,,,
llc_G,el_A,llc_B,llc_F,,,,,,,,,,,
llc_D,llc_C,llc_E,,,,,,,,,,,,
sga_A,sga_B,ew_A,,,,,,,,,,,,
ew_A,sga_A,el_A,,,,,,,,,,,,
sga_B,sga_A,,,,,,,,,,,,,
mce,scc,el_A,scw,sce,sdc_A,,,,,,,,,
sdc_A,el_A,mce,,,,,,,,,,,,
scc,srr,srn_A,srm_A,sro_A,mce,scn_A,srs,srp_A,srq,,,,,
sce,sru,mce,scn_A,srv,srt,,,,,,,,,
scw,sri,srk,srl,mce,scn_A,srg,srj,src,sre,sra,,,,
kit_A,buf_A,buf_B,,,,,,,,,,,,
buf_D,buf_C,buf_B,,,,,,,,,,,,
srh,srg,,,,,,,,,,,,,
srg,scw,srh,,,,,,,,,,,,
srf,sre,,,,,,,,,,,,,
sre,srf,scw,,,,,,,,,,,,
srd,src,,,,,,,,,,,,,
src,srd,scw,,,,,,,,,,,,
srb,sra,,,,,,,,,,,,,
sra,srb,scw,,,,,,,,,,,,
sri,scw,,,,,,,,,,,,,
srj,scw,,,,,,,,,,,,,
srk,scw,,,,,,,,,,,,,
srl,scw,,,,,,,,,,,,,
srp_A,scc,,,,,,,,,,,,,
sro_A,scc,,,,,,,,,,,,,
srn_A,scc,,,,,,,,,,,,,
srm_A,scc,,,,,,,,,,,,,
srq,scc,,,,,,,,,,,,,
srr,scc,,,,,,,,,,,,,
srs,scc,,,,,,,,,,,,,
srv,sce,,,,,,,,,,,,,
sru,sce,,,,,,,,,,,,,
srt,sce,,,,,,,,,,,,,
