Index,Victim Location,Color,X,Y,Z
0,tkt,Yellow,-2224,60,-3
1,kco,Green,-2223,60,0
2,kco,Green,-2209,60,5
3,lib1,Green,-2218,60,17
4,lib1,Green,-2223,60,20
5,lib1,Green,-2219,60,21
6,lib1,Green,-2221,60,28
7,lib2,Green,-2222,60,32
8,oba,Green,-2223,60,47
9,oba,Green,-2223,60,54
10,mcw1,Green,-2215,60,58
11,r101,Green,-2206,60,2
12,r102,Green,-2197,60,-1
13,hcr,Yellow,-2208,60,20
14,hcr,Green,-2194,60,15
15,mb,Green,-2203,60,39
16,wb,Green,-2193,60,39
17,cf,Green,-2204,60,52
18,r109,Green,-2184,60,45
19,r108,Green,-2176,60,35
20,r105,Green,-2184,60,17
21,r104,Green,-2184,60,7
22,r103,Green,-2184,60,-1
23,cce1,Green,-2186,60,3
24,cce2,Green,-2187,60,8
25,llc14,Green,-2169,60,31
26,llc8,Green,-2173,60,19
27,llc5,Yellow,-2169,60,15
28,llc1,Green,-2173,60,8
29,llc3,Green,-2159,60,7
30,llc23,Green,-2164,60,11
31,llc7,Green,-2162,60,14
32,buf2,Green,-2146,60,12
33,llc22,Green,-2152,60,24
34,llc21,Green,-2154,60,26
35,buf5,Green,-2144,60,35
36,sdc1,Green,-2147,60,38
37,sdc1,Green,-2144,60,39
38,sdc2,Green,-2140,60,44
39,kit4,Green,-2138,60,35
40,srbn,Green,-2132,60,12
41,srbn,Yellow,-2127,60,19
42,srbn,Green,-2130,60,20
43,srbs,Green,-2132,60,23
44,srbs,Green,-2130,60,22
45,sran,Green,-2124,60,33
46,srcs,Yellow,-2108,60,45
47,srcn,Green,-2109,60,42
48,srds,Green,-2108,60,23
49,srds,Green,-2115,60,24
50,scw1,Green,-2117,60,18
51,srj,Green,-2097,60,4
52,srh,Green,-2093,60,27
53,srg,Green,-2097,60,36
54,sre,Green,-2099,60,47
