Room,N,S,E,W
BH2,E2,WR,BH1,
BH1,E1,MR,XHC,BH2
E2,,BH2,,
E1,,BH1,,
MR,BH1,MR0,,
MR0,MR,,,
WR,BH2,WR1,WR0,
WR1,WR,,,
WR0,,,,WR
XHC,,XHL1,CH1,BH1
XHL1,XHC,XHL2,RJ,
XHL2,XHL1,LH1,R201,
LH1,XHL1,,LH2,
LH2,,,LH3,LH1
LH3,R205,,LH4,LH2
LH4,R207,,,LH3
R207,,LH4,,
R205,,LH3,,
R203,R208W,,,R201
R201,,,R203,XHL2
RJ,,,,XHL1
R208W,CH2,R203,R208E,
R208E,CH3,,,R208W
R210,CH4,,,
CH4,R215,R210,,CH3
CH3,,R208E,CH4,CH2
CH2,R211,R208W,CH3,CH1
CH1,R209,,CH2,XHC
R209,R216,CH1,,
R211,,CH2,R213,
R213,R218,,,R211
R215,R220,CH4,,
R220,RH4,R216,,
R218,RH3,R213,,
R216,RH2,R209,,
RH4,,R220,,RH3
RH3,,R218,RH4,RH2
RH2,,R216,RH3,RH1
RH1,,,RH2,XHR
XHR,,,RH1,
