Victim Location	Color	X	Y	Z
E2	Gold	-2148	52	180
E1	Green	-2145	52	182
WR1	Green	-2148	52	160
MR	Green	-2142	52	165
MR0	Green	-2142	52	161
RJ	Gold	-2135	52	166
R201	Green	-2133	52	164
R201	Green	-2130	52	162
R203	Green	-2124	52	164
R207	Green	-2116	52	160
R207	Green	-2109	52	158
R207	Gold	-2110	52	164
R210	Green	-2115	52	166
R210	Green	-2110	52	171
R208E	Gold	-2118	52	168
R208W	Gold	-2125	52	171
R211	Green	-2125	52	184
R213	Green	-2118	52	180
R213	Green	-2120	52	185
R215	Green	-2115	52	181
R215	Gold	-2109	52	185
R216	Gold	-2134	52	192
R216	Green	-2124	52	188
R218	Green	-2119	52	187
R220	Green	-2113	52	190
R220	Green	-2110	52	188
